datetime,premium
2021-10-31,0.00045015
2021-11-01,0.00041891
2021-11-02,0.00077551
2021-11-03,0.00099636
2021-11-04,0.00017109
2021-11-05,0.00055319
2021-11-06,0.00081204
2021-11-07,0.00040678
2021-11-08,0.00061173
2021-11-09,0.00073574
2021-11-10,-0.00020996
2021-11-11,0.00096516
2021-11-12,0.00010078
2021-11-13,0.00139217
2021-11-14,0.0
2021-11-15,0.00029522
2021-11-16,0.0
2021-11-17,0.0003149
2021-11-18,0.00104751
2021-11-19,-0.00028255
2021-11-20,0.00101494
2021-11-21,0.00011799
2021-11-22,0.0
2021-11-23,0.00103254
2021-11-24,0.0009114
2021-11-25,6.495e-05
2021-11-26,0.00152162
2021-11-27,0.00029708
2021-11-28,0.00090344
2021-11-29,0.00058594
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,1.732e-05
2021-12-03,-4.693e-05
2021-12-04,1.796e-05
2021-12-05,-0.00035388
2021-12-06,-0.00102125
2021-12-07,-0.00010143
2021-12-08,0.0
2021-12-09,-0.00010041
2021-12-10,0.0
2021-12-11,-0.00011129
2021-12-12,-0.00027034
2021-12-13,-0.00058543
2021-12-14,-0.00032182
2021-12-15,-0.00088911
2021-12-16,0.00050368
2021-12-17,-0.00027719
2021-12-18,-0.00019934
2021-12-19,-6.347e-05
2021-12-20,0.00027216
2021-12-21,-0.00065386
2021-12-22,0.0
2021-12-23,-0.00027582
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,5.028e-05
2021-12-28,-0.00028151
2021-12-29,0.0
2021-12-30,-0.00025744
2021-12-31,0.0
2022-01-01,-0.00040683
2022-01-02,0.0003319
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,-0.00049467
2022-01-06,-0.00051709
2022-01-07,-0.00032368
2022-01-08,-0.00067452
2022-01-09,-0.00029526
2022-01-10,-0.00070474
2022-01-11,-0.00031585
2022-01-12,0.0
2022-01-13,0.00029074
2022-01-14,-0.00014158
2022-01-15,-0.00024836
2022-01-16,-1.904e-05
2022-01-17,-9.361e-05
2022-01-18,-0.00038483
2022-01-19,-0.00058612
2022-01-20,-0.00142016
2022-01-21,0.0
2022-01-22,-0.00036448
2022-01-23,-0.00040456
2022-01-24,-0.00052222
2022-01-25,-0.0009021
2022-01-26,-0.00010458
2022-01-27,-0.00060504
2022-01-28,-0.00115281
2022-01-29,-0.00101404
