datetime,premium
2021-12-28,-0.00022037
2021-12-29,0.0
2021-12-30,-0.0002605
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,-0.00021512
2022-01-03,0.00043978
2022-01-04,0.00040295
2022-01-05,-0.00079458
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,-0.00032893
2022-01-10,-0.0007754
2022-01-11,-0.0004192
2022-01-12,0.0
2022-01-13,0.00068428
2022-01-14,-1.345e-05
2022-01-15,-0.00018346
2022-01-16,0.0
2022-01-17,-0.0005638
2022-01-18,-0.00060866
2022-01-19,-0.00046825
2022-01-20,-0.00163286
2022-01-21,-0.00029474
2022-01-22,-0.0002824
2022-01-23,-6.927e-05
2022-01-24,8.254e-05
2022-01-25,-0.00106943
2022-01-26,-0.00051203
2022-01-27,-0.00108525
2022-01-28,-0.00042178
2022-01-29,-0.00086664
2022-01-30,-0.00130938
2022-01-31,-0.00030529
2022-02-01,-0.0005369
2022-02-02,-0.00133816
2022-02-03,-0.00093032
2022-02-04,-0.00028194
2022-02-05,-0.00055439
2022-02-06,-0.00061563
2022-02-07,-0.0009006
2022-02-08,-0.00071657
2022-02-09,-0.00053039
2022-02-10,-0.00110969
2022-02-11,-0.0006875
2022-02-12,-4.642e-05
2022-02-13,-0.00074818
2022-02-14,-0.00027509
2022-02-15,-0.00078032
2022-02-16,0.0
2022-02-17,-0.00085768
2022-02-18,-0.00037205
2022-02-19,-0.00014377
2022-02-20,-0.00027601
2022-02-21,-0.00048421
2022-02-22,-0.00049659
2022-02-23,-0.00056199
2022-02-24,-0.00050927
2022-02-25,-0.00059282
2022-02-26,0.0
2022-02-27,-8.96e-06
2022-02-28,-0.00038759
2022-03-01,-1.898e-05
2022-03-02,0.0
2022-03-03,-0.00043857
2022-03-04,-0.00051333
2022-03-05,-0.00028026
2022-03-06,-0.00060563
2022-03-07,-0.00100863
2022-03-08,-0.00069001
2022-03-09,0.0
2022-03-10,-0.00037299
2022-03-11,-0.00026903
2022-03-12,-0.00034825
2022-03-13,-0.00030568
2022-03-14,-0.00036985
2022-03-15,0.0
2022-03-16,-0.00040599
2022-03-17,0.00029355
2022-03-18,-0.00065737
2022-03-19,0.0
2022-03-20,-0.00021828
2022-03-21,-0.00050706
2022-03-22,-0.00011478
2022-03-23,-0.00043313
2022-03-24,-7.155e-05
2022-03-25,-0.00041293
2022-03-26,-0.00057664
2022-03-27,-0.0007061
2022-03-28,0.00048664
2022-03-29,-0.00067343
2022-03-30,0.00020149
2022-03-31,3.602e-05
2022-04-01,5.204e-05
2022-04-02,0.00046181
2022-04-03,3.466e-05
2022-04-04,-0.00047384
2022-04-05,0.00015183
2022-04-06,-0.00035072
2022-04-07,-0.00037114
2022-04-08,-0.00056467
2022-04-09,-0.00018645
2022-04-10,-0.00065051
2022-04-11,-0.00058102
2022-04-12,-0.00041458
2022-04-13,8.499e-05
2022-04-14,-0.00030862
2022-04-15,-0.00052525
2022-04-16,-0.00039475
2022-04-17,-0.00069296
2022-04-18,-0.00015928
2022-04-19,-0.00021685
2022-04-20,-0.0003323
2022-04-21,-0.00057274
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,-0.00094537
2022-04-25,-0.00036257
2022-04-26,-0.00077926
2022-04-27,-0.00050512
2022-04-28,-0.00052488
2022-04-29,-0.00031155
2022-04-30,-0.0019591
