datetime,premium
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,-0.00080206
2021-06-21,-0.0022982
2021-06-22,-0.00049954
2021-06-23,-0.00070511
2021-06-24,-0.00123441
2021-06-25,-0.00101487
2021-06-26,0.0005034
2021-06-27,5.781e-05
2021-06-28,-0.00085315
2021-06-29,8.177e-05
2021-06-30,-0.00062821
2021-07-01,-0.0001447
2021-07-02,-0.00017825
2021-07-03,-0.0005745
2021-07-04,-0.00029064
2021-07-05,-0.00058108
2021-07-06,-0.00050179
2021-07-07,-0.00062738
2021-07-08,-0.00056412
2021-07-09,-0.00043886
2021-07-10,0.0
2021-07-11,0.00019928
2021-07-12,-3.83e-06
2021-07-13,1.315e-05
2021-07-14,-0.0003933
2021-07-15,0.0
2021-07-16,-0.00047793
2021-07-17,-7.277e-05
2021-07-18,-0.00041813
2021-07-19,-0.00031145
2021-07-20,-0.0006137
2021-07-21,-0.00050494
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,-0.00033684
2021-07-25,0.0
2021-07-26,-0.00050469
2021-07-27,-5.707e-05
2021-07-28,0.00022042
2021-07-29,0.0
2021-07-30,8.828e-05
2021-07-31,3.215e-05
2021-08-01,0.0
2021-08-02,0.00024679
2021-08-03,0.0001399
2021-08-04,0.00058963
2021-08-05,0.00072109
2021-08-06,0.00102679
2021-08-07,2.35e-05
2021-08-08,0.00055041
2021-08-09,9.52e-06
2021-08-10,0.00114484
2021-08-11,0.0
2021-08-12,0.00090956
2021-08-13,0.00090835
2021-08-14,0.00173195
2021-08-15,0.00131139
2021-08-16,0.00107825
2021-08-17,0.00058803
2021-08-18,0.0002903
2021-08-19,0.00093609
2021-08-20,0.0001389
2021-08-21,0.00114536
2021-08-22,0.00091614
2021-08-23,0.0012237
2021-08-24,0.00068251
2021-08-25,0.0008298
2021-08-26,-0.00012936
2021-08-27,0.00071167
2021-08-28,0.00061942
2021-08-29,0.0016599
2021-08-30,0.001024
2021-08-31,0.00070133
2021-09-01,0.0014668
2021-09-02,0.00037072
2021-09-03,0.00103734
2021-09-04,0.00187681
2021-09-05,0.001246
2021-09-06,0.00106298
2021-09-07,0.00169759
2021-09-08,0.00016412
2021-09-09,0.00046
2021-09-10,0.0
2021-09-11,0.00011103
2021-09-12,0.00034695
2021-09-13,0.0
2021-09-14,0.00089108
2021-09-15,0.00114395
2021-09-16,0.00093506
2021-09-17,0.00059719
2021-09-18,0.00039231
2021-09-19,0.00013613
2021-09-20,-0.00028534
2021-09-21,-0.00042234
2021-09-22,-5.837e-05
2021-09-23,-0.0009352
2021-09-24,-0.00079802
2021-09-25,-0.00053245
2021-09-26,0.0
2021-09-27,-0.00048195
2021-09-28,-0.00073359
2021-09-29,-0.00066974
2021-09-30,6.37e-06
2021-10-01,6.853e-05
2021-10-02,-0.00012121
2021-10-03,0.00085397
2021-10-04,0.00143241
2021-10-05,0.00069303
2021-10-06,6.115e-05
2021-10-07,0.00059906
2021-10-08,0.00067537
2021-10-09,0.00093964
2021-10-10,0.0
2021-10-11,0.00020857
2021-10-12,7.659e-05
2021-10-13,0.00061975
2021-10-14,0.00156467
2021-10-15,0.00101725
2021-10-16,0.00077885
2021-10-17,0.0011559
2021-10-18,0.00065901
2021-10-19,0.00077753
2021-10-20,0.00079524
2021-10-21,0.00129577
2021-10-22,0.0019138
2021-10-23,0.00090502
2021-10-24,0.00085305
2021-10-25,0.00194893
2021-10-26,0.00045435
2021-10-27,0.00019714
2021-10-28,0.00021055
2021-10-29,0.00117132
2021-10-30,0.00065199
2021-10-31,0.00069544
2021-11-01,0.0007708
2021-11-02,0.00163976
2021-11-03,0.00118758
2021-11-04,0.00050975
2021-11-05,0.00131033
2021-11-06,0.00112413
2021-11-07,0.00218826
2021-11-08,0.00017424
2021-11-09,0.00102229
2021-11-10,-0.00011854
2021-11-11,0.00021686
2021-11-12,0.0
2021-11-13,0.00063587
2021-11-14,0.00048526
2021-11-15,0.0012679
2021-11-16,-0.00034011
2021-11-17,1.128e-05
2021-11-18,0.00032942
2021-11-19,0.0
2021-11-20,0.00025609
2021-11-21,5.064e-05
2021-11-22,0.0
2021-11-23,0.00050861
2021-11-24,0.00036629
2021-11-25,0.00116221
2021-11-26,0.00073625
2021-11-27,0.00045774
2021-11-28,-5.482e-05
2021-11-29,0.00038248
2021-11-30,0.0
2021-12-01,0.00018359
2021-12-02,0.00040611
2021-12-03,8.996e-05
2021-12-04,-2.298e-05
2021-12-05,-0.00052188
2021-12-06,-0.0017215
2021-12-07,-0.00047048
2021-12-08,-0.00077828
2021-12-09,-0.0003356
2021-12-10,0.0
2021-12-11,-0.00078992
2021-12-12,-6.143e-05
2021-12-13,-0.00089899
2021-12-14,-0.00099335
2021-12-15,-0.00032142
2021-12-16,-0.00012249
2021-12-17,-0.00049397
2021-12-18,-4.462e-05
2021-12-19,-0.00015203
2021-12-20,-0.00019934
2021-12-21,-6.92e-05
2021-12-22,-0.00053492
2021-12-23,-0.00026929
2021-12-24,0.00036897
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,-0.00011803
2021-12-28,-0.00096129
2021-12-29,-0.00074061
2021-12-30,-0.00043559
2021-12-31,-0.00018151
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.00023331
2022-01-04,-0.00022919
2022-01-05,-0.00126115
2022-01-06,-0.00058992
2022-01-07,-6.543e-05
2022-01-08,0.0
2022-01-09,-0.00024622
2022-01-10,-0.00070354
2022-01-11,-0.0001818
2022-01-12,-0.00081842
2022-01-13,5.38e-05
2022-01-14,5.503e-05
2022-01-15,-7.821e-05
2022-01-16,-8.711e-05
2022-01-17,0.00014915
2022-01-18,-0.00041931
2022-01-19,0.0
2022-01-20,8.285e-05
2022-01-21,-0.00017079
2022-01-22,-0.00023954
2022-01-23,0.0
2022-01-24,-0.00061863
2022-01-25,-0.00086495
2022-01-26,-0.00048725
2022-01-27,-0.00013619
2022-01-28,-0.00071401
2022-01-29,-0.00124685
2022-01-30,-0.00131399
2022-01-31,-0.00082106
2022-02-01,-0.00057715
2022-02-02,-0.00106022
2022-02-03,-0.00088202
2022-02-04,0.0
2022-02-05,-0.00075813
2022-02-06,-0.00068442
2022-02-07,0.0
2022-02-08,-0.00055551
2022-02-09,0.00034528
2022-02-10,-0.00131452
2022-02-11,-0.00120821
2022-02-12,-5.854e-05
2022-02-13,-0.00047723
2022-02-14,-0.00080118
2022-02-15,-6.712e-05
2022-02-16,4.526e-05
2022-02-17,0.0
2022-02-18,-0.00073155
2022-02-19,-0.00047791
2022-02-20,1.241e-05
2022-02-21,-0.00039555
2022-02-22,-0.0001405
2022-02-23,-0.00047119
2022-02-24,-0.00109523
2022-02-25,-0.00029232
2022-02-26,-2.73e-05
2022-02-27,-0.00065502
2022-02-28,0.0
2022-03-01,-9.937e-05
2022-03-02,-0.00012375
2022-03-03,-0.00031358
2022-03-04,-0.00056323
2022-03-05,-0.00042379
2022-03-06,-0.00027343
2022-03-07,-0.00114758
2022-03-08,-0.00034244
2022-03-09,-8.133e-05
2022-03-10,-0.00081563
2022-03-11,-0.00045725
2022-03-12,-0.00049857
2022-03-13,-0.00065596
2022-03-14,-0.00127318
2022-03-15,-0.00066772
2022-03-16,-0.00078405
2022-03-17,-0.00027905
2022-03-18,-0.00029434
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,-0.00029135
2022-03-23,-0.00043945
2022-03-24,-0.00062281
2022-03-25,-5.041e-05
2022-03-26,0.0
2022-03-27,-0.00057459
2022-03-28,0.00040546
2022-03-29,0.00033273
2022-03-30,0.00078598
2022-03-31,0.0
2022-04-01,5.742e-05
2022-04-02,0.0
2022-04-03,0.00046413
2022-04-04,0.00025993
2022-04-05,-0.00054536
2022-04-06,0.0
2022-04-07,-7.97e-05
2022-04-08,-0.00043567
2022-04-09,-0.00016405
2022-04-10,-2.091e-05
2022-04-11,-0.00070045
2022-04-12,-0.00033537
2022-04-13,-9.088e-05
2022-04-14,0.00027108
2022-04-15,-0.00022513
2022-04-16,-0.00040554
2022-04-17,-0.00066636
2022-04-18,-6.353e-05
2022-04-19,0.0
2022-04-20,-6.056e-05
2022-04-21,-0.00083542
2022-04-22,-0.00018192
2022-04-23,8.404e-05
2022-04-24,-0.00034018
2022-04-25,-0.00037709
2022-04-26,0.0
2022-04-27,-0.00036134
2022-04-28,-0.00063036
2022-04-29,-0.00033177
2022-04-30,-0.00095886
2022-05-01,-0.00078132
2022-05-02,-0.00109739
2022-05-03,-0.00066194
2022-05-04,-0.00114999
2022-05-05,0.0
2022-05-06,-3.969e-05
2022-05-07,-0.00065627
2022-05-08,-0.00084601
2022-05-09,0.0
2022-05-10,-0.00092299
2022-05-11,0.0
2022-05-12,0.00052427
2022-05-13,-0.00073727
2022-05-14,-0.00081431
2022-05-15,-0.00017001
2022-05-16,-0.00026309
2022-05-17,-0.00156548
2022-05-18,0.0
2022-05-19,-0.00041215
2022-05-20,-0.00098978
2022-05-21,-0.00132923
2022-05-22,-0.0007983
2022-05-23,-0.00061997
2022-05-24,-0.00100077
2022-05-25,-0.00061584
2022-05-26,-0.00076875
2022-05-27,0.0
2022-05-28,-0.00062722
2022-05-29,0.0
2022-05-30,-0.00067522
2022-05-31,0.0
2022-06-01,-0.00029159
2022-06-02,-0.00046493
2022-06-03,-0.00037951
2022-06-04,-0.00055532
2022-06-05,-0.00046066
2022-06-06,-0.00057252
2022-06-07,-0.00048873
2022-06-08,-0.00063937
2022-06-09,-0.00053587
2022-06-10,-0.00072909
2022-06-11,-0.00070213
2022-06-12,-0.00040126
2022-06-13,-0.00015767
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,-0.00056644
2022-06-17,4.618e-05
2022-06-18,-6.556e-05
2022-06-19,-0.00017662
2022-06-20,-0.00038508
2022-06-21,0.0
2022-06-22,-0.00035453
2022-06-23,-0.00055246
2022-06-24,-0.00069053
2022-06-25,-0.00016446
2022-06-26,-0.00046194
2022-06-27,0.0
2022-06-28,-0.00030721
2022-06-29,-0.00054606
2022-06-30,-0.00083149
2022-07-01,-2.409e-05
2022-07-02,-0.00097057
2022-07-03,-0.00062975
2022-07-04,-0.00021095
2022-07-05,-0.00024408
2022-07-06,-0.00068234
2022-07-07,-0.00040696
2022-07-08,0.0
2022-07-09,-0.0002391
2022-07-10,-0.00021668
2022-07-11,-0.00060011
2022-07-12,-0.00140273
2022-07-13,-0.00080481
2022-07-14,0.0
2022-07-15,-0.0008135
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,-0.00113595
2022-07-19,-0.00013179
2022-07-20,0.0
2022-07-21,-0.0001851
2022-07-22,-0.00057015
2022-07-23,-0.00064028
2022-07-24,-0.00020489
2022-07-25,-0.00109089
2022-07-26,-0.00042135
2022-07-27,0.0
2022-07-28,-8.829e-05
2022-07-29,0.00025064
2022-07-30,-0.00023351
2022-07-31,-0.00039018
2022-08-01,-0.00119067
